name,min,a,b,max
0,0,109,3362,4095
1,0,137,3429,4095
2,0,0,3054,4095
3,0,0,3539,4095
4,0,152,2845,4095
5,0,132,3614,4095
6,0,29,3079,4095
7,0,0,3161,4095
8,0,172,3061,4095
9,0,259,3440,4095
10,0,183,2696,4095
11,0,237,2979,4095
12,0,96,3215,4095
13,0,212,3906,4095
14,0,18,3190,4095
15,0,451,3700,4095
16,0,100,3131,4095
17,0,115,3209,4095
18,0,0,3267,4095
19,0,206,3297,4095
20,0,181,2487,4095
21,0,306,3876,4095
22,0,53,2601,4095
23,0,208,2855,4095
24,0,91,3555,4095
25,0,150,3825,4095
26,0,75,3704,4095
27,0,219,3592,4095
28,0,162,2802,4095
29,0,116,3823,4095
30,0,0,2940,4095
31,0,110,3194,4095
32,0,0,2876,4095
33,0,96,3443,4095
34,0,0,3286,4095
35,0,94,3273,4095
36,0,24,2675,4095
37,0,136,3629,4095
38,0,66,2851,4095
39,0,91,3431,4095
40,0,102,3435,4095
41,0,92,3477,4095
42,0,74,3396,4095
43,0,77,3999,4095
44,0,64,3591,4095
45,0,200,3513,4095
46,0,0,3488,4095
47,0,211,3386,4095
48,0,24,3067,4095
49,0,87,3025,4095
