name,min,a,b,max
0,0,134,2868,4095
1,0,128,3317,4095
2,0,300,3590,4095
3,0,164,3396,4095
4,0,63,3042,4095
5,0,0,3340,4095
6,0,110,3578,4095
7,0,143,3278,4095
8,0,230,3124,4095
9,0,205,2780,4095
10,0,215,3317,4095
11,0,199,3792,4095
12,0,235,3853,4095
13,0,382,3859,4095
14,0,144,3091,4095
15,0,0,2649,4095
16,0,65,3058,4095
17,0,400,3569,4095
18,0,185,4046,4095
19,0,75,3396,4095
20,0,34,2602,4095
21,0,84,2926,4095
22,0,43,2650,4095
23,0,31,2601,4095
24,0,74,3121,4095
25,0,56,3016,4095
26,0,76,2637,4095
27,0,51,2981,4095
28,0,39,3086,4095
29,0,62,3067,4095
30,0,38,2665,4095
31,0,4,2510,4095
32,0,126,2893,4095
33,0,86,2885,4095
34,0,102,2894,4095
35,0,65,2811,4095
36,0,363,3854,4095
37,0,167,3423,4095
38,0,285,3789,4095
39,0,228,3808,4095
40,0,220,3666,4095
41,0,216,3604,4095
42,0,139,3535,4095
43,0,160,3451,4095
44,0,231,3130,4095
45,0,35,3496,4095
46,0,243,3692,4095
47,0,231,3559,4095
48,0,314,3183,4095
49,0,146,3174,4095
