name,min,a,b,max
0,16,2033,63525,65535
1,16,1765,61857,65535
2,16,16,49687,65535
3,16,5486,64998,65535
4,16,3645,64862,65535
5,16,2270,57648,65535
6,16,1509,55591,65535
7,16,1677,55414,65535
8,16,16,51952,65535
9,16,2598,64558,65535
10,16,3481,47938,65535
11,16,4609,48834,65535
12,16,680,56034,65535
13,16,16,51278,65535
14,16,2304,62481,65535
15,16,3350,51694,65535
16,16,4717,54027,65535
17,16,3248,55472,65535
18,16,585,58410,65535
19,16,643,61104,65535
20,16,2310,61270,65535
21,16,1416,59386,65535
22,16,1347,44620,65535
23,16,2195,53809,65535
24,16,2667,57058,65535
25,16,5016,58678,65535
26,16,2380,62213,65535
27,16,3264,64254,65535
28,16,2031,57349,65535
29,16,1914,58320,65535
30,16,3280,58957,65535
31,16,2267,51899,65535
32,16,2937,56349,65535
33,16,3710,62822,65535
34,16,1416,61445,65535
35,16,1917,57725,65535
36,16,2001,49928,65535
37,16,696,55896,65535
38,16,6239,57390,65535
39,16,4436,59076,65535
40,16,3989,63198,65535
41,16,3043,52925,65535
42,16,575,54244,65535
43,16,1289,59079,65535
44,16,1159,55320,65535
45,16,2292,56880,65535
46,16,202,60701,65535
47,16,2521,60404,65535
48,16,1613,61496,65535
49,16,1309,56435,65535
