name,min,a,b,max
0,16,5427,50254,65535
1,16,1088,51632,65535
2,16,4532,41679,65535
3,16,4188,53605,65535
4,16,5134,45887,65535
5,16,4885,49503,65535
6,16,5815,39557,65535
7,16,4035,56092,65535
8,0,8080,54768,64669
9,0,2552,50368,64669
10,16,3932,49809,65535
11,0,3730,55224,64669
12,0,5296,40629,64669
13,0,5597,51891,64669
14,0,5448,61783,64669
15,0,3623,35099,64669
16,16,8606,51427,65535
17,16,367,44200,65535
18,16,7956,38905,65535
19,16,2112,60168,65535
20,16,5521,58685,65535
21,16,1447,59766,65535
22,16,3916,52917,65535
23,16,2816,46201,65535
24,16,2323,53365,65535
25,0,4494,60212,64669
26,0,5161,59290,64669
27,16,3846,55335,65535
28,16,2464,50817,65535
29,16,2861,51219,65535
30,16,3463,50555,65535
31,16,3604,52743,65535
32,16,1192,49636,65535
33,16,2376,47142,65535
34,16,3904,50881,65535
35,16,2100,58200,65535
36,16,3019,52844,65535
37,16,7377,64465,65535
38,16,5422,62759,65535
39,16,4433,64681,65535
40,16,2691,63505,65535
41,16,3799,63598,65535
42,16,5816,65114,65535
43,0,2962,57805,64669
44,0,4704,54345,64669
45,16,5553,61747,65535
46,16,4038,64100,65535
47,16,5894,61539,65535
48,16,6069,60077,65535
49,16,3508,51840,65535
