name,min,a,b,max
0,0,324,3761,3781
1,0,253,3688,3830
2,0,62,3795,3856
3,0,222,3417,3867
4,232,2029,3158,3301
5,355,1972,2852,3771
6,69,810,3042,3896
7,176,846,3011,3894
8,0,2465,3660,3867
9,0,2206,3581,3833
10,0,2302,3598,3698
11,0,1377,3639,3730
12,0,1428,3560,3673
13,0,528,1933,2922
14,0,726,1897,2934
15,0,425,1691,2469
16,0,480,1938,2457
17,0,139,3299,4095
18,0,134,3480,4095
19,0,151,3353,4095
20,0,0,3346,4095
21,0,0,3568,4095
22,0,0,4017,4095
23,0,377,1594,1601
24,0,274,1328,1468
25,0,327,1306,1531
26,0,300,1403,1516
27,0,184,3271,4095
28,0,204,3791,4095
29,0,150,3809,4095
30,0,0,3146,4095
31,0,0,3856,4095
32,0,0,3880,4095
33,0,63,3828,4095
34,0,52,3957,4095
35,0,195,2795,4095
36,0,195,3411,4095
37,0,8,3132,4095
38,0,114,3378,4095
39,0,190,3279,4095
40,0,277,2835,4095
41,0,959,1999,2624
42,0,896,2133,2624
43,0,891,1964,2624
44,0,832,1993,2624
45,0,402,1464,1743
46,0,658,2018,2765
47,0,432,1442,2195
48,0,910,2149,2637
49,0,149,3738,4095
