name,min,a,b,max
0,0,1007,2072,2624
1,0,1009,1985,2624
2,0,885,2021,2624
3,0,669,2026,2624
4,0,942,2004,2624
5,0,963,1942,2624
6,0,899,2004,2624
7,0,974,1958,2624
8,0,1072,2083,2624
9,0,1079,2102,2624
10,0,1144,2128,2624
11,0,1159,1947,2624
12,0,1047,2169,2624
13,0,869,2035,2624
14,0,1096,1880,2624
15,0,1024,1984,2624
16,0,1104,2307,2624
17,0,1039,2102,2624
18,0,958,1784,2624
19,0,794,1868,2624
20,0,1011,2110,2624
21,0,860,2095,2624
22,0,1124,1986,2624
23,0,901,1956,2624
24,0,1209,1950,2624
25,0,972,1964,2624
26,0,1090,2147,2624
27,0,768,2027,2624
28,0,1014,2033,2624
29,0,979,2031,2624
30,0,1067,2285,2624
31,0,989,2272,2624
32,0,1012,2032,2624
33,0,895,1993,2624
34,0,1162,2153,2624
35,0,1160,2147,2627
36,0,1261,2218,3024
37,0,1188,2078,2624
38,0,1223,2115,2624
39,0,1196,2103,2624
40,0,1091,2079,2624
41,0,814,2142,2624
42,0,891,1921,2624
43,0,837,1948,2624
44,0,902,2252,2624
45,0,562,2166,2624
46,0,931,2042,2624
47,0,975,1951,2624
48,0,914,2151,2624
49,0,869,2060,2624
