name,min,a,b,max
0,0,819,2188,2624
1,0,1017,2441,2631
2,0,768,2024,2624
3,0,0,1916,2624
4,0,714,1964,2624
5,0,462,1981,2624
6,0,900,1946,2624
7,0,627,2019,2624
8,0,966,2049,2624
9,0,874,1993,2624
10,0,943,1980,2624
11,0,977,2033,2624
12,0,920,2105,2624
13,0,986,2132,2624
14,0,836,1926,2624
15,0,910,2011,2624
16,0,943,1964,2624
17,0,684,1991,3043
18,0,945,2097,2624
19,0,832,2205,2624
20,0,1008,1909,2624
21,0,720,1913,2624
22,0,960,2176,2624
23,0,814,2026,2624
24,0,836,2063,2624
25,0,693,1994,2624
26,0,851,1964,2624
27,0,864,1989,2624
28,0,1064,2223,2624
29,0,897,2155,2624
30,0,1035,2075,2624
31,0,1050,2017,2624
32,0,1025,2035,2624
33,0,544,1907,2624
34,0,576,1926,2624
35,0,918,1915,2624
36,0,1036,2027,2624
37,0,560,1917,2774
38,0,825,1986,2624
39,0,750,2042,2624
40,0,984,2051,2624
41,0,973,2058,2624
42,0,1053,2025,2624
43,0,798,1951,2624
44,0,945,2110,2624
45,0,825,2103,2624
46,0,800,1994,2624
47,0,512,1894,2624
48,0,1080,2039,2624
49,0,527,2026,2654
